 ******* Program SOILCO2
 *******  Zalf Lysimeter Dedelow Dd_2_6 with Nitrogen                            
 Units: L = cm  , T = day , M = kg  

 CosAlf,MaxIt,TolTh,TolH
 1.000   20 0.00100   0.010

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lCO2,lRoot,lTemp,InitWC
     T     T     T     T     T     F     F     F     T     T     F     T     T
 using plants

Nodal point information

node      x         hOld    MatN LayN  Beta      CO2       Temp     Conc...
     1  9.99515557E-01  4.34134585E-01 -2.71022688E-01  9.85437346E-04  2.53252071E+02
     1  9.99418679E-01  4.34092506E-01 -3.12889081E-01  1.02399456E-03  2.45763425E+02
     1  9.99302467E-01  4.34042030E-01 -3.61222811E-01  1.06394321E-03  2.38099770E+02
     1  9.99163077E-01  4.33981487E-01 -4.17022923E-01  1.10530440E-03  2.30264530E+02
     1  9.98995913E-01  4.33908880E-01 -4.81442791E-01  1.14809176E-03  2.22262205E+02
     1  9.98795474E-01  4.33821820E-01 -5.55813957E-01  1.19230925E-03  2.14098508E+02
     1  9.98555187E-01  4.33717453E-01 -6.41673655E-01  1.23794835E-03  2.05780513E+02
     1  9.98267202E-01  4.33592368E-01 -7.40796580E-01  1.28498463E-03  1.97316829E+02
     1  9.97922155E-01  4.33442498E-01 -8.55231580E-01  1.33337357E-03  1.88717775E+02
     1  9.97508886E-01  4.33262997E-01 -9.87343995E-01  1.38304551E-03  1.79995586E+02
     1  9.97014119E-01  4.33048098E-01 -1.13986456E+00  1.43389945E-03  1.71164623E+02
     1  9.96422085E-01  4.32790951E-01 -1.31594582E+00  1.48579578E-03  1.62241605E+02
     1  9.95714094E-01  4.32483438E-01 -1.51922735E+00  1.53854757E-03  1.53245847E+02
     1  9.94868052E-01  4.32115964E-01 -1.75391091E+00  1.59191044E-03  1.44199495E+02
     1  9.93857917E-01  4.31677217E-01 -2.02484736E+00  1.64557092E-03  1.35127772E+02
     1  9.92653107E-01  4.31153914E-01 -2.33763688E+00  1.69913340E-03  1.26059180E+02
     1  9.91217865E-01  4.30530524E-01 -2.69874475E+00  1.75210585E-03  1.17025689E+02
     1  9.89510603E-01  4.29788983E-01 -3.11563498E+00  1.80388495E-03  1.08062837E+02
     1  9.87483253E-01  4.28908414E-01 -3.59692457E+00  1.85374140E-03  9.92097523E+01
     1  9.85080676E-01  4.27864866E-01 -4.15256167E+00  1.90080693E-03  9.05090272E+01
     1  9.82240193E-01  4.26631117E-01 -4.79403115E+00  1.94406507E-03  8.20064106E+01
     1  9.78891336E-01  4.25176557E-01 -5.53459201E+00  1.98234841E-03  7.37502651E+01
     1  9.74955914E-01  4.23467227E-01 -6.38955145E+00  2.01434607E-03  6.57907383E+01
     1  9.70348551E-01  4.21466042E-01 -7.37658128E+00  2.03862540E-03  5.81786035E+01
     1  9.64977831E-01  4.19133296E-01 -8.51608313E+00  2.05367231E-03  5.09637518E+01
     1  9.58748203E-01  4.16427488E-01 -9.83161022E+00  2.05795395E-03  4.41933436E+01
     1  9.51562763E-01  4.13306529E-01 -1.13503542E+01  2.05000572E-03  3.79096851E+01
     1  9.43326979E-01  4.09729357E-01 -1.31037070E+01  2.02854115E-03  3.21479526E+01
     1  9.33953286E-01  4.05657940E-01 -1.51279100E+01  1.99257864E-03  2.69339578E+01
     1  9.23366382E-01  4.01059571E-01 -1.74648031E+01  1.94157298E-03  2.22822010E+01
     1  9.11508848E-01  3.95909311E-01 -2.01626891E+01  1.87553428E-03  1.81944881E+01
     1  8.98346561E-01  3.90192337E-01 -2.32773327E+01  1.79511339E-03  1.46593635E+01
     1  8.83873289E-01  3.83905944E-01 -2.68731127E+01  1.70163323E-03  1.16525299E+01
     1  8.68113794E-01  3.77060886E-01 -3.10243530E+01  1.59705188E-03  9.13829247E+00
     1  8.51124934E-01  3.69681859E-01 -3.58168587E+01  1.48385385E-03  7.07189998E+00
     1  8.32994467E-01  3.61806982E-01 -4.13496896E+01  1.36487990E-03  5.40250574E+00
     1  8.13837583E-01  3.53486285E-01 -4.77372080E+01  1.24311824E-03  4.07637239E+00
     1  7.93791520E-01  3.44779378E-01 -5.51114420E+01  1.12148788E-03  3.03992782E+00
     1  7.73008911E-01  3.35752556E-01 -6.36248153E+01  1.00264475E-03  2.24234347E+00
     1  7.51650586E-01  3.26475674E-01 -7.34532971E+01  8.88834663E-04  1.63742800E+00
     1  7.29878607E-01  3.17019124E-01 -8.48000396E+01  7.81805885E-04  1.18476962E+00
     1  7.07850123E-01  3.07451162E-01 -9.78995770E+01  6.82781862E-04  8.50183646E-01
     1  6.85712456E-01  2.97835777E-01 -1.13022673E+02  5.92485026E-04  6.05602419E-01
     1  6.63599584E-01  2.88231161E-01 -1.30481919E+02  5.11197061E-04  4.28579395E-01
     1  6.41630002E-01  2.78688783E-01 -1.50638193E+02  4.38839709E-04  3.01573819E-01
     1  6.19905800E-01  2.69252985E-01 -1.73908118E+02  3.75062045E-04  2.11152857E-01
     1  5.98512716E-01  2.59961006E-01 -2.00772680E+02  3.19323760E-04  1.47208753E-01
     1  5.77520907E-01  2.50843318E-01 -2.31787161E+02  2.70967916E-04  1.02250479E-01
     1  5.56986199E-01  2.41924171E-01 -2.67592623E+02  2.29280126E-04  7.07984482E-02
     1  5.36951594E-01  2.33222240E-01 -3.08929155E+02  1.93533681E-04  4.88890755E-02
     1  5.17448886E-01  2.24751336E-01 -3.56651173E+02  1.63021757E-04  3.36826419E-02
     1  4.98500262E-01  2.16521096E-01 -4.11745079E+02  1.37078701E-04  2.31610985E-02
     1  4.80119820E-01  2.08537643E-01 -4.75349649E+02  1.15092633E-04  1.59001684E-02
     1  4.62314942E-01  2.00804183E-01 -5.48779573E+02  9.65115226E-05  1.09004814E-02
     1  4.45087524E-01  1.93321541E-01 -6.33552630E+02  8.08446086E-05  7.46424965E-03
     1  4.28435039E-01  1.86088617E-01 -7.31421055E+02  6.76606953E-05  5.10627068E-03
     1  4.12351442E-01  1.79102787E-01 -8.44407765E+02  5.65844893E-05  3.49033341E-03
     1  3.96827941E-01  1.72360232E-01 -9.74848165E+02  4.72918523E-05  2.38414645E-03
     1  3.81853633E-01  1.65856216E-01 -1.12543842E+03  3.95045776E-05  1.62760980E-03
     1  3.67416032E-01  1.59585316E-01 -1.29929121E+03  3.29851052E-05  1.11060522E-03
     1  3.53501499E-01  1.53541608E-01 -1.50000000E+03  2.75314387E-05  7.57522097E-04

     2  9.99999608E-01  4.34344830E-01 -1.00000000E-03  2.16475057E-04  4.23663929E+02
     2  9.99999529E-01  4.34344796E-01 -1.15447560E-03  2.25069067E-04  4.21525522E+02
